pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 30,edge-list,189926000,struct-edge-list,188419000,vertex-pull,2068790000,vertex-pull-nodiv,876551000,vertex-pull-warp,911942000,vertex-pull-warp-nodiv,571650000,vertex-push,529633000,vertex-push-warp,700165000
ff 15,edge-list,63756000,struct-edge-list,63261900,vertex-pull,653227000,vertex-pull-nodiv,279382000,vertex-pull-warp,384764000,vertex-pull-warp-nodiv,263635000,vertex-push,218921000,vertex-push-warp,328044000
ff 05,edge-list,14660600,struct-edge-list,14651900,vertex-pull,95120100,vertex-pull-nodiv,44253100,vertex-pull-warp,113905000,vertex-pull-warp-nodiv,83752700,vertex-push,50867900,vertex-push-warp,103916000
re 50,edge-list,215143000,struct-edge-list,215136000,vertex-pull,2593980000,vertex-pull-nodiv,1121130000,vertex-pull-warp,1139400000,vertex-pull-warp-nodiv,839596000,vertex-push,255052000,vertex-push-warp,868172000
re 30,edge-list,75512100,struct-edge-list,75840600,vertex-pull,607780000,vertex-pull-nodiv,284202000,vertex-pull-warp,605073000,vertex-pull-warp-nodiv,478964000,vertex-push,80914900,vertex-push-warp,504893000
re 15,edge-list,28107000,struct-edge-list,28288100,vertex-pull,155785000,vertex-pull-nodiv,82433600,vertex-pull-warp,288757000,vertex-pull-warp-nodiv,236204000,vertex-push,30717200,vertex-push-warp,252024000
re 05,edge-list,8895070,struct-edge-list,8968850,vertex-pull,33891700,vertex-pull-nodiv,19702200,vertex-pull-warp,92540400,vertex-pull-warp-nodiv,78024200,vertex-push,9667350,vertex-push-warp,83994600
rw 50,edge-list,162952000,struct-edge-list,163722000,vertex-pull,2324330000,vertex-pull-nodiv,992303000,vertex-pull-warp,1025620000,vertex-pull-warp-nodiv,798730000,vertex-push,210902000,vertex-push-warp,851600000
rw 30,edge-list,82989700,struct-edge-list,83525700,vertex-pull,1040030000,vertex-pull-nodiv,458731000,vertex-pull-warp,609344000,vertex-pull-warp-nodiv,477345000,vertex-push,108577000,vertex-push-warp,507971000
rw 15,edge-list,34821100,struct-edge-list,35028900,vertex-pull,400053000,vertex-pull-nodiv,178033000,vertex-pull-warp,301714000,vertex-pull-warp-nodiv,240058000,vertex-push,46710700,vertex-push-warp,254453000
rw 05,edge-list,10035000,struct-edge-list,10076200,vertex-pull,99543500,vertex-pull-nodiv,45625600,vertex-pull-warp,101559000,vertex-pull-warp-nodiv,80839700,vertex-push,18454700,vertex-push-warp,85326900
,,,,,,,,,,,,,,,,
roadNet-CA.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,37971800,struct-edge-list,38108400,vertex-pull,40859800,vertex-pull-nodiv,36509400,vertex-pull-warp,321623000,vertex-pull-warp-nodiv,261174000,vertex-push,32199300,vertex-push-warp,271101000
ff 50,edge-list,19009800,struct-edge-list,19084500,vertex-pull,20770700,vertex-pull-nodiv,18442300,vertex-pull-warp,161270000,vertex-pull-warp-nodiv,130991000,vertex-push,16432400,vertex-push-warp,136151000
ff 30,edge-list,12576000,struct-edge-list,12546100,vertex-pull,13700600,vertex-pull-nodiv,11210900,vertex-pull-warp,97077400,vertex-pull-warp-nodiv,78793400,vertex-push,12057200,vertex-push-warp,81953600
ff 15,edge-list,7303170,struct-edge-list,7311090,vertex-pull,8050990,vertex-pull-nodiv,5781420,vertex-pull-warp,48871800,vertex-pull-warp-nodiv,39596700,vertex-push,6390680,vertex-push-warp,41274900
ff 05,edge-list,2575140,struct-edge-list,2584610,vertex-pull,2813340,vertex-pull-nodiv,2077460,vertex-pull-warp,16423500,vertex-pull-warp-nodiv,14278200,vertex-push,2320350,vertex-push-warp,13931600
