bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
rw 15,edge-list,1973080,rev-edge-list,1889490,vertex-pull,1351140,vertex-push,1455020,vertex-push-warp,7876250
rw 05,edge-list,1067020,rev-edge-list,1013580,vertex-pull,768293,vertex-push,698894,vertex-push-warp,3597170
,,,,,,,,,,
soc-LiveJournal1,edge-list,1620380000,rev-edge-list,1577280000,vertex-pull,198023000,vertex-push,290288000,vertex-push-warp,910747000
ff 50,edge-list,178699000,rev-edge-list,174425000,vertex-pull,42173700,vertex-push,78283000,vertex-push-warp,188981000
ff 30,edge-list,74973600,rev-edge-list,73423200,vertex-pull,21042500,vertex-push,53233800,vertex-push-warp,113583000
ff 15,edge-list,22991500,rev-edge-list,22248800,vertex-pull,8662340,vertex-push,30250100,vertex-push-warp,56953300
ff 05,edge-list,4545050,rev-edge-list,4375670,vertex-pull,2459500,vertex-push,9421770,vertex-push-warp,16162700
re 50,edge-list,234690000,rev-edge-list,227859000,vertex-pull,131726000,vertex-push,171523000,vertex-push-warp,902389000
re 30,edge-list,128568000,rev-edge-list,123688000,vertex-pull,120220000,vertex-push,152727000,vertex-push-warp,833406000
re 15,edge-list,1995830,rev-edge-list,1915530,vertex-pull,2604050,vertex-push,3166330,vertex-push-warp,17405500
re 05,edge-list,573230,rev-edge-list,554788,vertex-pull,938878,vertex-push,1088770,vertex-push-warp,5902460
rw 50,edge-list,253376000,rev-edge-list,247062000,vertex-pull,128682000,vertex-push,168589000,vertex-push-warp,906478000
rw 30,edge-list,142856000,rev-edge-list,138677000,vertex-pull,99199200,vertex-push,128485000,vertex-push-warp,699208000
rw 15,edge-list,79657300,rev-edge-list,76692000,vertex-pull,69341800,vertex-push,86964800,vertex-push-warp,473643000
rw 05,edge-list,45739000,rev-edge-list,43841300,vertex-pull,46617000,vertex-push,54860300,vertex-push-warp,297746000
,,,,,,,,,,
web-Google,edge-list,267983000,rev-edge-list,259963000,vertex-pull,96196800,vertex-push,74151700,vertex-push-warp,360230000
ff 50,edge-list,72284600,rev-edge-list,70119700,vertex-pull,32909100,vertex-push,26326600,vertex-push-warp,110282000
ff 30,edge-list,27281400,rev-edge-list,26405900,vertex-pull,22483500,vertex-push,12273600,vertex-push-warp,50624600
ff 15,edge-list,10277000,rev-edge-list,9926850,vertex-pull,12492600,vertex-push,6179260,vertex-push-warp,23162400
ff 05,edge-list,3323810,rev-edge-list,3174370,vertex-pull,8091360,vertex-push,2955120,vertex-push-warp,7569060
re 50,edge-list,2867880,rev-edge-list,2772670,vertex-pull,2804210,vertex-push,2840350,vertex-push-warp,15860400
re 30,edge-list,916338,rev-edge-list,878544,vertex-pull,1111860,vertex-push,1170640,vertex-push-warp,6465870
re 15,edge-list,391507,rev-edge-list,365745,vertex-pull,620009,vertex-push,656747,vertex-push-warp,3436410
re 05,edge-list,168873,rev-edge-list,152468,vertex-pull,243735,vertex-push,254097,vertex-push-warp,1197320
rw 50,edge-list,51799100,rev-edge-list,49852100,vertex-pull,35975200,vertex-push,39454500,vertex-push-warp,202641000
rw 30,edge-list,43042200,rev-edge-list,41653400,vertex-pull,36341100,vertex-push,37921300,vertex-push-warp,197730000
rw 15,edge-list,6068090,rev-edge-list,5834260,vertex-pull,5664130,vertex-push,5428170,vertex-push-warp,29087500
rw 05,edge-list,545301,rev-edge-list,515915,vertex-pull,683651,vertex-push,591396,vertex-push-warp,2978570
,,,,,,,,,,
wiki-Talk,edge-list,16072600,rev-edge-list,15539200,vertex-pull,10073000,vertex-push,10203100,vertex-push-warp,56878000
ff 50,edge-list,20764600,rev-edge-list,20252400,vertex-pull,12376200,vertex-push,81808400,vertex-push-warp,92564700
ff 30,edge-list,11516500,rev-edge-list,11200500,vertex-pull,7507740,vertex-push,82687800,vertex-push-warp,55591400
ff 15,edge-list,4789210,rev-edge-list,4644180,vertex-pull,3266220,vertex-push,58549200,vertex-push-warp,23782400
ff 05,edge-list,1436530,rev-edge-list,1378480,vertex-pull,1331160,vertex-push,38805700,vertex-push-warp,8381270
re 50,edge-list,26763000,rev-edge-list,26101200,vertex-pull,16582900,vertex-push,140883000,vertex-push-warp,121705000
re 30,edge-list,16610000,rev-edge-list,16149400,vertex-pull,11364800,vertex-push,69762000,vertex-push-warp,82543300
