pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
rw 15,edge-list,41584100,struct-edge-list,41469200,vertex-pull,429854000,vertex-pull-nodiv,161345000,vertex-pull-warp,363703000,vertex-pull-warp-nodiv,305447000,vertex-push,66088500,vertex-push-warp,217621000
rw 05,edge-list,11331200,struct-edge-list,11196800,vertex-pull,112288000,vertex-pull-nodiv,42054700,vertex-pull-warp,120891000,vertex-pull-warp-nodiv,101917000,vertex-push,19143100,vertex-push-warp,71845000
,,,,,,,,,,,,,,,,
roadNet-CA.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,40690900,struct-edge-list,39651200,vertex-pull-warp,423176000,vertex-pull-warp-nodiv,347486000,vertex-push,34069200,vertex-push-warp,226372000,,,,
ff 50,edge-list,20112600,struct-edge-list,19565900,vertex-pull-warp,213813000,vertex-pull-warp-nodiv,174878000,vertex-push,16839800,vertex-push-warp,114036000,,,,
ff 30,edge-list,12317400,struct-edge-list,12004800,vertex-pull-warp,129061000,vertex-pull-warp-nodiv,105846000,vertex-push,10371000,vertex-push-warp,69061700,,,,
ff 15,edge-list,6487560,struct-edge-list,6325820,vertex-pull-warp,66782500,vertex-pull-warp-nodiv,53910000,vertex-push,5576060,vertex-push-warp,35727000,,,,
ff 05,edge-list,2326520,struct-edge-list,2287080,vertex-pull,2397880,vertex-pull-nodiv,1557040,vertex-pull-warp,23079700,vertex-pull-warp-nodiv,18667700,vertex-push,2090220,vertex-push-warp,12614600
re 50,edge-list,16785100,struct-edge-list,16701700,vertex-pull-warp,211868000,vertex-pull-warp-nodiv,175578000,vertex-push,16443800,vertex-push-warp,114301000,,,,
re 30,edge-list,9009270,struct-edge-list,8969840,vertex-pull-warp,127362000,vertex-pull-warp-nodiv,105479000,vertex-push,9044390,vertex-push-warp,68584000,,,,
re 15,edge-list,4456620,struct-edge-list,4489720,vertex-pull-warp,65867100,vertex-pull-warp-nodiv,53416800,vertex-push,4609860,vertex-push-warp,35358600,,,,
re 05,edge-list,1671250,struct-edge-list,1677340,vertex-pull-warp,22714400,vertex-pull-warp-nodiv,18507700,vertex-push,1779740,vertex-push-warp,12506300,,,,
rw 50,edge-list,17796000,struct-edge-list,17459300,vertex-pull-warp,211895000,vertex-pull-warp-nodiv,174890000,vertex-push,16583400,vertex-push-warp,114008000,,,,
rw 30,edge-list,9993720,struct-edge-list,9821320,vertex-pull-warp,127494000,vertex-pull-warp-nodiv,105312000,vertex-push,9550000,vertex-push-warp,68582600,,,,
rw 15,edge-list,5038280,struct-edge-list,4943480,vertex-pull-warp,65996000,vertex-pull-warp-nodiv,53383900,vertex-push,4938880,vertex-push-warp,35399900,,,,
rw 05,edge-list,1896470,struct-edge-list,1860970,vertex-pull-warp,22739700,vertex-pull-warp-nodiv,18504700,vertex-push,1858030,vertex-push-warp,12479100,,,,
,,,,,,,,,,,,,,,,
roadNet-PA.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,22873800,struct-edge-list,22298100,vertex-pull-warp,235489000,vertex-pull-warp-nodiv,192846000,vertex-push,19139800,vertex-push-warp,125753000,,,,
