bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 30,edge-list,59068800,rev-edge-list,63653600,vertex-pull,50055600,vertex-push,38976700,vertex-push-warp,51725400
ff 15,edge-list,20462200,rev-edge-list,21660900,vertex-pull,27661000,vertex-push,28577800,vertex-push-warp,25798700
ff 05,edge-list,4249520,rev-edge-list,4410050,vertex-pull,8822360,vertex-push,9711300,vertex-push-warp,7523350
re 50,edge-list,181323000,rev-edge-list,211791000,vertex-pull,145506000,vertex-push,73448500,vertex-push-warp,333483000
re 30,edge-list,102889000,rev-edge-list,115526000,vertex-pull,128451000,vertex-push,57867100,vertex-push-warp,297894000
re 15,edge-list,1653820,rev-edge-list,1753450,vertex-pull,2982670,vertex-push,1138460,vertex-push-warp,6363040
re 05,edge-list,509204,rev-edge-list,509770,vertex-pull,927492,vertex-push,443521,vertex-push-warp,2302140
rw 50,edge-list,157680000,rev-edge-list,175246000,vertex-pull,120276000,vertex-push,59609700,vertex-push-warp,273483000
rw 30,edge-list,136683000,rev-edge-list,145180000,vertex-pull,126080000,vertex-push,59324300,vertex-push-warp,309210000
rw 15,edge-list,52572800,rev-edge-list,53587800,vertex-pull,56164300,vertex-push,28291200,vertex-push-warp,144147000
rw 05,edge-list,43047200,rev-edge-list,42508800,vertex-pull,51757500,vertex-push,25769300,vertex-push-warp,130890000
,,,,,,,,,,
com-youtube.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,76603600,rev-edge-list,81964700,vertex-pull,70492400,vertex-push,87711400,vertex-push-warp,97642500
ff 50,edge-list,9213120,rev-edge-list,9778450,vertex-pull,64272500,vertex-push,1607250,vertex-push-warp,8975060
ff 30,edge-list,9334210,rev-edge-list,9882100,vertex-pull,29701000,vertex-push,50686700,vertex-push-warp,13021600
ff 15,edge-list,4766210,rev-edge-list,4911610,vertex-pull,75797300,vertex-push,52390400,vertex-push-warp,9133230
ff 05,edge-list,1069420,rev-edge-list,1072390,vertex-pull,26642800,vertex-push,41385100,vertex-push-warp,3917770
re 50,edge-list,30515300,rev-edge-list,34200500,vertex-pull,32133200,vertex-push,37839800,vertex-push-warp,59019000
re 30,edge-list,16055200,rev-edge-list,17653200,vertex-pull,31771800,vertex-push,17214400,vertex-push-warp,40089100
re 15,edge-list,674957,rev-edge-list,709715,vertex-pull,2987250,vertex-push,385569,vertex-push-warp,1973890
re 05,edge-list,238942,rev-edge-list,231332,vertex-pull,780307,vertex-push,170345,vertex-push-warp,694042
rw 50,edge-list,32862400,rev-edge-list,35714600,vertex-pull,45430300,vertex-push,41277400,vertex-push-warp,60413100
rw 30,edge-list,20785000,rev-edge-list,22094900,vertex-pull,28019100,vertex-push,23567700,vertex-push-warp,44986500
rw 15,edge-list,9155270,rev-edge-list,9407540,vertex-pull,12848200,vertex-push,9656170,vertex-push-warp,22627600
rw 05,edge-list,4149350,rev-edge-list,4265360,vertex-pull,6515960,vertex-push,4825670,vertex-push-warp,10711900
,,,,,,,,,,
email-Enron.txt,1,,2,,3,,4,,5,
graph,edge-list,3779420,rev-edge-list,3922790,vertex-pull,5082890,vertex-push,5723880,vertex-push-warp,3849350
ff 50,edge-list,966849,rev-edge-list,1032810,vertex-pull,2565650,vertex-push,4363280,vertex-push-warp,1592650
ff 30,edge-list,382795,rev-edge-list,392956,vertex-pull,2314540,vertex-push,2515330,vertex-push-warp,1035480
ff 15,edge-list,240011,rev-edge-list,239757,vertex-pull,1673500,vertex-push,1949120,vertex-push-warp,923618
ff 05,edge-list,216646,rev-edge-list,218416,vertex-pull,1609080,vertex-push,1889700,vertex-push-warp,710690
re 50,edge-list,1514150,rev-edge-list,1589040,vertex-pull,1792730,vertex-push,2149070,vertex-push-warp,1774950
re 30,edge-list,792560,rev-edge-list,762560,vertex-pull,1846490,vertex-push,1308860,vertex-push-warp,1537350
re 15,edge-list,848113,rev-edge-list,751275,vertex-pull,1362770,vertex-push,1071110,vertex-push-warp,1690520
re 05,edge-list,99485,rev-edge-list,91362,vertex-pull,118401,vertex-push,91833,vertex-push-warp,190724
rw 50,edge-list,1601840,rev-edge-list,1678570,vertex-pull,3117720,vertex-push,2731760,vertex-push-warp,1923050
rw 30,edge-list,1428450,rev-edge-list,1430950,vertex-pull,2665370,vertex-push,2061150,vertex-push-warp,2077390
